receiver,uniform_loss,lowpass_loss,highpass_loss,adaptive_loss,spectral_steps,pre_disturb_loss,disturbed_loss,final_repair_loss,peak_aperture_mean,final_aperture_mean,aperture_area_time
coarse,3.1636898517608643,0.0001016453534248285,8.268345832824707,0.0011104312725365162,3,0.0011104312725365162,0.43967369198799133,0.0014115162193775177,0.0506451390683651,0.00013372434477787465,0.567189412744483
edges,0.4149690568447113,0.06991793215274811,1.027854084968567,0.050021447241306305,44,0.050021447241306305,0.3153357207775116,0.060806822031736374,0.03877773880958557,0.0010683153523132205,0.6732946719275787
texture,0.4221036434173584,0.2671804428100586,0.5705826282501221,0.13459597527980804,31,0.13459597527980804,0.7343384623527527,0.3284798264503479,0.05142813175916672,0.0016463862266391516,0.7547635415103287
squares,0.7540977597236633,0.05820498242974281,1.0547189712524414,0.06375667452812195,28,0.06375667452812195,0.116787388920784,0.08254146575927734,0.00471258582547307,0.0004931034054607153,0.12608064530650154
